# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Al/Fe]	[Ba/Fe]	[Ca/Fe]	[Ce/Fe]	[C/Fe]	[Co/Fe]	[Cr/Fe]	[Eu/Fe]	[Mg/Fe]	[Mn/Fe]	[N/Fe]	[Ni/Fe]	[O/Fe]	[Si/Fe]	[Sr/Fe]	[Ti/Fe]	[V/Fe]	[Y/Fe]	[Zr/Fe]	log-e(Li)
J151116.8+002525	C.M.Sakari+,ApJ, 868, 110, 2018	15 11 16.80	+00 25 26.4	4568	0.9	-2.46	-2.46		-0.18	0.37	0.07		0.26	0.1	0.41	0.26	-0.43		-0.04		0.68	0.02	0.27	-0.14	-0.32	0.42	
J1516+0442	H.Li+,ApJ, 931, 147, 2022	15 16 49.04	+04 42 24.66	4869	2.24	-2.33	-2.33		-0.13	0.35		-0.17	0.33	-0.27	0.44	0.44	-0.44		0.01		0.35	0.04	0.5	-0.06	-0.18	0.37	0.95
J1516+1103	H.Li+,ApJ, 931, 147, 2022	15 16 50.75	+11 03 37.22	5820	2.28	-2.97	-2.97		-0.76	0.28		1.14	0.37	-0.11		0.74			0.08			-0.38	0.48				
J151608.7-212200	C.M.Sakari+,ApJ, 868, 110, 2018	15 16 08.66	-21 21 59.5	4325	0.19	-2.36	-2.36		-0.48	0.35			-0.03	-0.02	0.09	0.28	-0.47		0		0.52	-0.03	0.33	0.48	0.07	0.62	
J1518+2544	H.Li+,ApJ, 931, 147, 2022	15 18 21.56	+25 44 33.30	5530	2.37	-2.15	-2.15		0.29	0.38		-0.2	0.16	-0.13	0.31	0.41	-0.39		0.07		0.59	0.66	0.58	0.08	-0.02	0.55	
J1520+5500	H.Li+,ApJ, 931, 147, 2022	15 20 16.41	+55 00 27.16	5500	2.04	-2.18	-2.18		0.37	0.36		0.03	0.36	-0.13	0.91	0.33	-0.39		0.04		0.25	0.42	0.36	-0.03	0.02	0.3	
J1522+4107	H.Li+,ApJ, 931, 147, 2022	15 22 27.50	+41 07 52.94	5134	2.53	-2.23	-2.23		-0.02	0.33		0.07	0.32	-0.27		0.3	-0.38		-0.02		0.52	0.06	0.35	-0.12	-0.04	0.54	1.11
J1523+0714	H.Li+,ApJ, 931, 147, 2022	15 23 38.83	+07 14 53.63	4675	1.4	-2.63	-2.63		0.22	0.12	0.29	-0.37	-0.03	-0.33	0.86	0.18	-0.6		-0.17		0.2	0.03	0.2	-0.43	-0.12	0.06	
J1524+5348	H.Li+,ApJ, 931, 147, 2022	15 24 44.84	+53 48 19.48	5749	3.73	-2.03	-2.03		-0.37	0.32		0.25	0.35	-0.04		0.33	-0.31		-0.02		0.43	0.13	0.36		-0.07		2.14
J15260106-0911388	T.T.Hansen+,ApJ, 858, 92, 2018	15 26 01.1	-09 11 38.7	4499	0.76	-2.83	-2.83		0.69			-0.82			1.7							0.9					
J15271353-2336177	T.T.Hansen+,ApJ, 858, 92, 2018	15 27 13.5	-23 36 17.7	5882	4.01	-2.15	-2.15		-0.03			0.33			0.7							0.35					
J1529+0804	H.Li+,ApJ, 931, 147, 2022	15 29 53.94	+08 04 48.14	4868	1.97	-2.89	-2.89		-0.88	0.29	0.4	0.05	0.33	-0.06		0.43	-0.03		0.28		0.45	0.19	0.32		-0.33		
J153421.9-085747	C.M.Sakari+,ApJ, 868, 110, 2018	15 34 21.89	-08 57 47.3	4721	1.26	-3.03	-3.03		-1.22	0.27			0.23		<-0.13	0.34			0.19		1.5	-0.33	0.09				
J153830.9-180424	C.M.Sakari+,ApJ, 868, 110, 2018	15 38 30.85	-18 04 24.2	4752	1.63	-2.09	-2.09		0.62	0.32	0.61		0.19	0.15	1.27	0.31	-0.58		-0.14		0.39	0.44	0.23	1.21	0.17	0.42	0.81
J1542+2115	H.Li+,ApJ, 931, 147, 2022	15 42 20.23	+21 15 24.62	5400	2.11	-3.07	-3.07			-0.12				-0.22		-0.28	0.42					-0.11	-0.26				
J1542+5152	H.Li+,ApJ, 931, 147, 2022	15 42 23.11	+51 52 22.57	6317	4.15	-2.25	-2.25		0.1	0.48				-0.07		0.41						0.73	0.7				2.35
J154204.1-013121	C.M.Sakari+,ApJ, 868, 110, 2018	15 42 04.08	-01 31 19.2	4638	1.34	-2.18	-2.18		-0.35	0.41			-0.28	0.13	0.26	0.38	-0.54		-0.04		0.66	0.02	0.18	1.22	-0.35	0.12	
J1544+0901	H.Li+,ApJ, 931, 147, 2022	15 44 26.36	+09 01 05.56	6583	3.93	-2.81	-2.8			0.22		1.8		-0.05		0.22						-0.23	0.26				
J154755.2-083710	C.M.Sakari+,ApJ, 868, 110, 2018	15 47 55.20	-08 37 12.0	4285	0.25	-2.48	-2.48		-0.5	0.37	-0.22		-0.19	0.31	-0.1	0.41	-0.46		0.01		0.56	0.78	0.42	0.53	-0.2		
J1548+2113	H.Li+,ApJ, 931, 147, 2022	15 48 59.48	+21 13 28.44	5144	2.83	-2.33	-2.33		-0.34	0.15		-0.12	0.06	-0.26	0.31	0.19	-0.47		-0.1		0.46	-0.1	0.27		-0.5	0.13	0.89
J1551+2040	H.Li+,ApJ, 931, 147, 2022	15 51 50.42	+20 40 33.32	5077	2.73	-2.48	-2.48		1.46	0.43	1.69	0.75	0.33	-0.1		0.56	-0.55		0.21			0.49	0.55		1.2	1.88	
J1554-0051	H.Li+,ApJ, 931, 147, 2022	15 54 12.78	-00 51 37.73	5503	2.36	-3.02	-3.02		-0.71	0.38		2.22	0.41	-0.21		0.56			-0.04			0.57	0.49				
J155427.3+002137	C.M.Sakari+,ApJ, 868, 110, 2018	15 54 27.29	+00 21 36.9	5210	1.24	-2.18	-2.18		-0.26	0.6			0.15	0.03	-0.09	0.59	-0.45		0.03		0.73	0.19	0.58	1.53	-0.39	-0.11	
J1558+4149	H.Li+,ApJ, 931, 147, 2022	15 58 04.75	+41 49 30.31	6291	4.08	-2.03	-2.03		-0.34	0.35		0.61	0.17	-0.03		0.15	-0.15		0.18			0.4	0.42		-0.06		2.38
J15582962-1224344	T.T.Hansen+,ApJ, 858, 92, 2018	15 58 29.6	-12 24 34.4	5125	1.52	-2.54	-2.54		0.04			-0.14			0.89							0.53					
J1604+1305	H.Li+,ApJ, 931, 147, 2022	16 04 00.49	+13 05 53.10	5049	2.42	-2.15	-2.15		0.68	0.37	0.85	0.17	0.29	-0.28	1.48	0.4	-0.33		0.04		0.5	0.4	0.37		0.4	0.92	
J160612.7-040034	C.M.Sakari+,ApJ, 868, 110, 2018	16 06 12.72	-04 00 32.4	4060	0.02	-2.09	-2.09		-0.17	0.41	-0.02		-0.12	0.2	0.23	0.53	-0.39		-0.02	0.6	0.36	-0.02	0.24	0.04	-0.12	0.78	
J160642.3-163245	C.M.Sakari+,ApJ, 868, 110, 2018	16 06 42.33	-16 32 45.3	4285	0.36	-2.28	-2.28		-0.57	0.38	-0.39		-0.03	0.19	-0.27	0.54	-0.48		-0.06		0.48	0.01	0.36	-0.19	-0.36		
J16080681-3215592	T.T.Hansen+,ApJ, 858, 92, 2018	16 08 06.8	-32 15 59.3	4680	1.27	-2.07	-2.07		0.08			-0.32			0.25							0.07					
J1609+1758	H.Li+,ApJ, 931, 147, 2022	16 09 50.85	+17 58 10.25	4832	1.46	-3.31	-3.26		-0.51	0.43	1.81	0.07	0.89	-0.24		0.47			-0.07		0.59	-0.51	0.52				
J160951.2-094118	C.M.Sakari+,ApJ, 868, 110, 2018	16 09 51.12	-09 41 16.8	4634	0.66	-2.66	-2.66		-0.3	0.39			0.29	-0.08	0.41	0.56	-0.49		-0.03			-0.06	0.26	1.93	-0.37		
J16095117-0941174	T.T.Hansen+,ApJ, 858, 92, 2018	16 09 51.2	-09 41 17.5	4556	0.68	-2.82	-2.82		-0.29			-0.65			0.17							-0.1					
J16103106+1003055	T.T.Hansen+,ApJ, 858, 92, 2018	16 10 31.1	+10 03 05.6	5370	2.6	-2.43	-2.43		-1.1			0.53			<0.7							-0.19					
J1612-0207	H.Li+,ApJ, 931, 147, 2022	16 12 06.17	-02 07 04.17	5056	2.8	-2.14	-2.14		0.06	0.33		-0.28	0.3	-0.24	0.35	0.28	-0.36		-0.04		0.38	0.24	0.43	-0.16	0.1	0.64	0.8
J161228.3-084808	C.M.Sakari+,ApJ, 868, 110, 2018	16 12 28.32	-08 48 07.2	4350	0.56	-2.11	-2.11		0.04	0.4	-0.09		-0.04	0.07	0.58	0.35	-0.35		-0.04		0.39	0.29	0.32	0.26	-0.16	0.09	
J1614+4437	H.Li+,ApJ, 931, 147, 2022	16 14 06.51	+44 37 55.91	5197	2.43	-2.32	-2.32		-0.17	0.36		0.25	0.23	-0.18		0.35	-0.51		0.07		0.68	-0.14	0.28	-0.07	-0.13	0.27	1.24
J1614+5137	H.Li+,ApJ, 931, 147, 2022	16 14 24.48	+51 37 12.77	6493	4.06	-2.91	-2.92		0.12	0.56						0.22						0.1	0.46				
J161843.1-063056	C.M.Sakari+,ApJ, 868, 110, 2018	16 18 42.96	-06 30 54.0	5335	1.31	-2.41	-2.41		-0.59	0.34			-0.12	0.12	<-0.27	0.39	-0.4		0.11		0.87	0.01	0.15		-0.36		
J16184302-0630558	T.T.Hansen+,ApJ, 858, 92, 2018	16 18 43.1	-06 30 55.5	5407	1.67	-2.6	-2.6		<-0.6			0.4			<0.2							-0.2					
J1622+2545	H.Li+,ApJ, 931, 147, 2022	16 22 51.76	+25 45 23.52	6430	4.16	-3.2	-3.19			0.14				0.54		0.19						0.65	0.68				
J1625+4836	H.Li+,ApJ, 931, 147, 2022	16 25 12.93	+48 36 36.68	5377	3.28	-2.49	-2.49		-0.45	0.37		0.22	0.24	-0.18		0.43	-0.43		-0.05		0.68	0.13	0.45	0.16	-0.16		1.25
J162722.5-084836	C.M.Sakari+,ApJ, 868, 110, 2018	16 27 22.56	-08 48 36.0	4678	1.54	-2.36	-2.36		0.1	0.29			-0.19	0.11	0.12	0.31	-0.41		-0.13		0.64	0	0.2	1.49	-0.07		
J1628+5150	H.Li+,ApJ, 931, 147, 2022	16 28 25.75	+51 50 04.54	6467	3.89	-2.96	-2.95		0.16	0.39		1.4		-0.19		0.37						0	0.44				2.26
J162856.2-101457	C.M.Sakari+,ApJ, 868, 110, 2018	16 28 56.15	-10 14 57.1	4955	1.31	-2	-2		-0.02	0.34	0.17		-0.05	0.11	0.36	0.26	-0.42		-0.07		0.52	-0.26	0.27	0.91	-0.29	0.08	
J1629+1430	H.Li+,ApJ, 931, 147, 2022	16 29 01.98	+14 30 50.83	4600	1.03	-3.45	-3.45		-0.93	0.29		-0.72	0.08	-0.47		0.39			0.04		0.53	0.02	0.21		-0.32		
J1630+0953	H.Li+,ApJ, 931, 147, 2022	16 30 35.82	+09 53 16.95	4665	1.16	-3.04	-3.04		-0.79	0.3	1.43	-0.29	0.22	-0.08		0.54	-0.26		0.19		0.6	-0.4	0.29		-0.57		
J1632+1022	H.Li+,ApJ, 931, 147, 2022	16 32 14.11	+10 22 25.14	5230	3.13	-2.61	-2.61		-0.27	0.34		0.16	0.27	-0.3		0.56	-0.26		0.11		0.68	0.3	0.47		0.03		1.04
J1634+0206	H.Li+,ApJ, 931, 147, 2022	16 34 54.06	+02 06 15.18	5338	2.35	-2.15	-2.15		0.32	0.33		-0.29	0.18	-0.13	0.55	0.35	-0.41		0		0.26	0.31	0.45	-0.05	-0.12	0.49	
J1634+0724	H.Li+,ApJ, 931, 147, 2022	16 34 25.10	+07 24 15.81	4817	2.2	-2.16	-2.16		0.23	0.35	0.3	-0.09	0.59	-0.22		0.48	-0.37		0.05		0.59	0.16	0.47	-0.13	0.01	0.62	0.85
J163931.1-052252	C.M.Sakari+,ApJ, 868, 110, 2018	16 39 31.20	-05 22 51.6	4370	0.56	-2.07	-2.07		-0.26	0.38	-0.1		-0.09	0.33	-0.07	0.28	-0.46		-0.16		0.6	0.36	0.22	0.22	-0.47		
J1640+1550	H.Li+,ApJ, 931, 147, 2022	16 40 24.69	+15 50 40.86	4730	1.6	-2.89	-2.89		-0.15	0.36		-0.78	0.17	-0.32	0.5	0.54	-0.4		0.11		0.52	0.26	0.5	0	0.01	0.35	
J1641+0334	H.Li+,ApJ, 931, 147, 2022	16 41 01.91	+03 34 02.02	5064	1.9	-3.26	-3.26		1.14	0.38				-0.54		0.6						0.14	0.37		0.53		
J1645+4357	H.Li+,ApJ, 931, 147, 2022	16 45 14.95	+43 57 12.05	4660	1.18	-2.87	-2.87		-1.34	-0.02		0.13	-0.49	0.09		0.52	0.14		0.24		0.17	-2.18	-0.2				
J164551.2-042947	C.M.Sakari+,ApJ, 868, 110, 2018	16 45 51.12	-04 29 45.6	4310	0.22	-2.15	-2.15		-0.37	0.34	-0.22		-0.03	0.13	-0.15	0.59	-0.41		-0.02		0.23	0.38	0.36	0.56	-0.32	0.08	
J1650+0438	H.Li+,ApJ, 931, 147, 2022	16 50 44.46	+04 38 36.17	5112	2.36	-3.59	-3.6			0.36	2.48	2		-0.2		0.18						-0.29	0.29				
J1650+4313	H.Li+,ApJ, 931, 147, 2022	16 50 14.35	+43 13 03.15	4915	2.02	-3.02	-3.02		0.16	0.39		0.17	0.41	-0.28	1.04	0.5			0.1		0.59	0.31	0.45		0.03		0.96
J1650+5402	H.Li+,ApJ, 931, 147, 2022	16 50 21.42	+54 02 45.54	4660	1.45	-2.62	-2.62		-0.57	0.28		-0.29	0.24	-0.35	0.16	0.37	-0.47		0.06		0.52	-0.47	0.3		-0.62		
J1656+4714	H.Li+,ApJ, 931, 147, 2022	16 56 06.00	+47 14 45.96	6152	4.49	-2.71	-2.71			0.22		1	0.87	-0.25		0.33			-0.02			-0.41	0.37				2.22
J1657+3443	H.Li+,ApJ, 931, 147, 2022	16 57 31.52	+34 43 27.37	4984	1.92	-2.6	-2.6		-0.03	0.25	0.32	0.4	0.29	-0.19	0.66	0.39	-0.33		0.05		0.46	0.23	0.31	0.02	-0.17	0.18	0.94
J1658+4329	H.Li+,ApJ, 931, 147, 2022	16 58 44.45	+43 29 06.58	6454	3.98	-2.98	-2.98		0.04	0.59		1.3		-0.04		0.33						-0.04	0.58				2.2
J1700+2159	H.Li+,ApJ, 931, 147, 2022	17 00 17.68	+21 59 37.13	5601	2.17	-2.63	-2.63		-0.32	0.43		0.44	0.18	-0.11		0.42			-0.08		0.56	0.85	0.48	0.23	0.05	0.72	
J1702+1732	H.Li+,ApJ, 931, 147, 2022	17 02 13.34	+17 32 12.94	5408	3.04	-2.29	-2.29		0.15	0.2		0.44	0.25	-0.19	0.77	0.34	-0.33		-0.04		0.5	-0.08	0.28	-0.01	0.02		1.1
J1702+1917	H.Li+,ApJ, 931, 147, 2022	17 02 37.47	+19 17 21.46	4928	2.38	-2.67	-2.67		-0.12	0.32		0.11	0.14	-0.24		0.48	-0.44		0.02		0.51	0.14	0.47	-0.19	-0.11	0.33	0.79
J1705+0855	H.Li+,ApJ, 931, 147, 2022	17 05 29.80	+08 55 59.17	6306	4.32	-2.95	-2.95			0.27		1.3		-0.25		0.27						-0.31	0.38				2.06
J1705+3333	H.Li+,ApJ, 931, 147, 2022	17 05 56.94	+33 33 14.57	6370	4.08	-2.32	-2.32		-0.23	0.37		0.58		-0.11		0.23			-0.08			0.24	0.51				2.16
J17093199-6027271	T.T.Hansen+,ApJ, 858, 92, 2018	17 09 32.0	-60 27 27.1	4547	0.77	-2.48	-2.47		-0.15			-0.45			0.6							0.28					
J17094926-6239285	T.T.Hansen+,ApJ, 858, 92, 2018	17 09 49.3	-62 39 28.6	4585	0.9	-2.51	-2.51		-0.45			-0.83			0.02							-0.05					
J17124284-5211479	T.T.Hansen+,ApJ, 858, 92, 2018	17 12 42.8	-52 11 47.9	4750	1.15	-2.78	-2.78		-0.58			-0.42			0.48							-0.03					
J1717+2449	H.Li+,ApJ, 931, 147, 2022	17 17 25.80	+24 49 25.94	4917	2.13	-2.45	-2.45		0.59	0.4	0.58	0.13	0.33	-0.24	1.26	0.52	-0.49		0		0.76	0.14	0.44	0.01	0.23	0.61	1
J1718+5044	H.Li+,ApJ, 931, 147, 2022	17 18 48.13	+50 44 21.92	5403	2.41	-2.75	-2.75		0.22	0.44		-0.11	0.12	-0.19		0.51			0.12		0.34	0.67	0.58		0.17		
J1719+1358	H.Li+,ApJ, 931, 147, 2022	17 19 02.10	+13 58 27.03	4775	2.05	-2.77	-2.77		0.23	0.39		-0.16	0.21	-0.22	0.66	0.5	-0.39		0.04		0.48	0.2	0.43	-0.15	-0.07	0.66	0.78
J17225742-7123000	T.T.Hansen+,ApJ, 858, 92, 2018	17 22 57.4	-71 22 60.0	5080	2.67	-2.42	-2.42		0.7			-0.33			1.07							0.31					
J17255680-6603395	T.T.Hansen+,ApJ, 858, 92, 2018	17 25 56.8	-66 03 39.6	4686	0.69	-2.59	-2.59		-0.35			-0.42			0.18							0.04					
J17285930-7427532	T.T.Hansen+,ApJ, 858, 92, 2018	17 28 59.3	-74 27 53.2	4900	1.61	-2.04	-2.04		-0.53			-0.42			0.23							0.74					
J1730+4143	H.Li+,ApJ, 931, 147, 2022	17 30 25.58	+41 43 34.87	4919	2.06	-2.5	-2.5		0.06	0.35		0.17	0.09	-0.28	0.38	0.41	-0.44		0		0.48	0.26	0.42	-0.1	0.05	0.53	1.06
J1731+2843	H.Li+,ApJ, 931, 147, 2022	17 31 45.54	+28 43 15.70	5058	2.43	-2.18	-2.18		-0.61	0.23		-0.02	0.24	-0.3		0.43	-0.39		-0.03		0.61	-0.1	0.31	-0.07	-0.39	-0.06	0.98
J1733+2633	H.Li+,ApJ, 931, 147, 2022	17 33 26.54	+26 33 43.17	5208	2.52	-3.28	-3.28		-1.12	0.36		0.43	0.3	-0.4		0.61			-0.06		0.77	-0.71	0.39				0.96
J17400682-6102129	T.T.Hansen+,ApJ, 858, 92, 2018	17 40 06.8	-61 02 12.9	4880	1.78	-2.24	-2.24		-0.31			-0.26			0.31							0.16					
J1741+3231	H.Li+,ApJ, 931, 147, 2022	17 41 46.38	+32 31 56.72	6462	4.1	-3.14	-3.14			0.69		1.5		0.02		0.21						-0.24	0.64				2.1
J17435113-5359333	T.T.Hansen+,ApJ, 858, 92, 2018	17 43 51.1	-53 59 33.4	5080	1.65	-2.24	-2.24		-0.07			-0.35			0.73							0					
J1745+5410	H.Li+,ApJ, 931, 147, 2022	17 45 58.66	+54 10 24.01	5518	2.15	-2.03	-2.03		0.15	0.31		0.01	0.14	-0.12	0.63	0.23	-0.47		-0.04		0.23	0.27	0.3	-0.07	0.02	0.31	
J1757+2435	H.Li+,ApJ, 931, 147, 2022	17 57 51.20	+24 35 48.97	5768	2.41	-2.81	-2.81		-0.15	0.43		0.52	0.01	-0.17		0.44			0.23			0.42	0.58				
J1810+5121	H.Li+,ApJ, 931, 147, 2022	18 10 59.88	+51 21 19.89	6213	4.33	-3.3	-3.31		0.38	0.55				-0.31		0.38						0.42	0.51				2.06
J1811+5159	H.Li+,ApJ, 931, 147, 2022	18 11 23.66	+51 59 46.83	4668	1.3	-2.51	-2.51		-1.32	0.12		-0.72	0.12	-0.09		0.28	-0.19		0.19		0.21	-0.73	0.52	-0.05			
J18121045-4934495	T.T.Hansen+,ApJ, 858, 92, 2018	18 12 10.5	-49 34 49.5	4436	0.76	-3.02	-3.02		-0.5			-0.33			-0.07							0.25					
J18285086-3434203	T.T.Hansen+,ApJ, 858, 92, 2018	18 28 50.9	-34 34 20.4	4630	1.12	-2.46	-2.46		-0.29			-0.58			0.53							0.22					
J1829+4852	H.Li+,ApJ, 931, 147, 2022	18 29 18.10	+48 52 38.90	6213	4.16	-2.07	-2.08		-0.1	0.36		0.16	0.05	-0.03		0.25	-0.31		0.09			0.31	0.5		-0.04		2.33
J18294122-4504000	T.T.Hansen+,ApJ, 858, 92, 2018	18 29 41.2	-45 04 00.1	4700	1.25	-2.48	-2.48		-0.06			-0.46			0.7							0.47					
J1833+1309	H.Li+,ApJ, 931, 147, 2022	18 33 16.85	+13 09 21.20	5296	3.51	-2.64	-2.64		0.05	0.4			0.22	-0.19	0.83	0.48	-0.41		0.04			0.44	0.55		0.13	0.7	1.51
J18362318-6428124	T.T.Hansen+,ApJ, 858, 92, 2018	18 36 23.2	-64 28 12.5	4896	1.8	-2.57	-2.57		0.18			0.1			0.57							-0.63					
J18363613-7136597	T.T.Hansen+,ApJ, 858, 92, 2018	18 36 36.1	-71 36 59.8	4650	0.65	-2.52	-2.52		-0.37			-0.75			0.56							0.01					
J1848+4401	H.Li+,ApJ, 931, 147, 2022	18 48 59.78	+44 01 18.35	5270	3.14	-2.54	-2.54		-0.19	0.29		0.12	0.12	-0.28		0.36	-0.4		0.07		0.37	0.13	0.41		-0.1	0.68	1.31
J1855+5903	H.Li+,ApJ, 931, 147, 2022	18 55 24.25	+59 03 17.07	6047	4.09	-2.01	-2.01		0.14	0.43		0.3	0.41	-0.15		0.52			0.14			0.35	0.6		0.4		2.07
J18562774-7251331	T.T.Hansen+,ApJ, 858, 92, 2018	18 56 27.7	-72 51 33.1	4709	1.08	-2.26	-2.26		-0.01			-0.48			0.32							0					
J191618.2-554445	G.R.Ruchti+,ApJ, 737, 9, 2011	19 16 18.24	-55 44 45.6	4438	0.83	-2.18	-2.18			0.22						0.36							0.12				
J19161821-5544454	T.T.Hansen+,ApJ, 858, 92, 2018	19 16 18.2	-55 44 45.4	4450	0.65	-2.35	-2.35		-0.12			-0.8			1.08							0.48					
J19172402-4211240	T.T.Hansen+,ApJ, 858, 92, 2018	19 17 24.0	-42 11 24.1	4775	1.06	-2.61	-2.44		-0.33			-0.58			0.11							-0.13					
J19202070-6627202	T.T.Hansen+,ApJ, 858, 92, 2018	19 20 20.7	-66 27 20.3	4690	1.64	-2.1	-2.1		-0.11			-0.28			0.29							0.73					
J19215077-4452545	T.T.Hansen+,ApJ, 858, 92, 2018	19 21 50.8	-44 52 54.6	4450	0.1	-2.56	-2.56		-0.31			-0.77			0.74							-0.05					
J1923+5036	H.Li+,ApJ, 931, 147, 2022	19 23 50.95	+50 36 51.35	5014	1.85	-2.64	-2.64		-0.57	0.32		-0.43	0.22	-0.24		0.41	-0.49		-0.06		0.52	0.44	0.46	0.25	-0.03	0.32	
J19232518-5833410	T.T.Hansen+,ApJ, 858, 92, 2018	19 23 25.2	-58 33 40.9	5035	2.12	-2.08	-2.08		0.11			0.27			0.76							0.56					
J193338.2-595902	G.R.Ruchti+,ApJ, 737, 9, 2011	19 33 38.16	-59 59 02.4	4920	1.41	-2.03	-2.03			0.28						0.29					0.32		0.18				
J19345497-5751400	T.T.Hansen+,ApJ, 858, 92, 2018	19 34 55.0	-57 51 40.1	4580	1.74	-2.46	-2.46		-0.71			-0.7			0.17							0.25					
J194550.6-392630	G.R.Ruchti+,ApJ, 737, 9, 2011	19 45 50.64	-39 26 31.2	4917	1.65	-2.58	-2.58			0.34						0.45					0.41		0.35				
J19494025-5424113	T.T.Hansen+,ApJ, 858, 92, 2018	19 49 40.3	-54 24 11.2	4486	0.91	-2.81	-2.81		-1.01			-0.55			-0.39							-0.05					
J19534978-5940001	T.T.Hansen+,ApJ, 858, 92, 2018	19 53 49.8	-59 40 00.1	4614	0.7	-2.79	-2.79		-0.52			-0.44			0.04							0.25					
J1954+5853	H.Li+,ApJ, 931, 147, 2022	19 54 44.11	+58 53 55.28	5861	3.84	-2.05	-2.05		0.06	0.38		0.02	-0.01	-0.15		0.24	-0.42		-0.11			0.43	0.5	0.07	0.11	0.44	2.13
J1958+5533	H.Li+,ApJ, 931, 147, 2022	19 58 01.38	+55 33 34.80	6133	3.9	-2.44	-2.44		-0.15	0.43		0.53	0.24	-0.14		0.21	-0.06		0.27			0.33	0.49		0.07		2.23
J19594558-2549075	T.T.Hansen+,ApJ, 858, 92, 2018	19 59 45.5	-25 49 07.0	4540	0.79	-2.44	-2.44		-0.5			-0.7			0.04							0.1					
J200420.2-270110	G.R.Ruchti+,ApJ, 737, 9, 2011	20 04 20.40	-27 01 12.0	5203	2.74	-2.03	-2.03			0.27						0.29					0.28		0.21				
J200506.7-305745	C.M.Sakari+,ApJ, 868, 110, 2018	20 05 06.71	-30 57 44.7	4624	0.96	-2.74	-2.74		0.36	0.27	0.61		-0.62	0.3	0.86	0.42	-0.37		-0.07		0.93	-0.16	0.34	1.5	-0.02	0.09	
J200728.5-495434	G.R.Ruchti+,ApJ, 737, 9, 2011	20 07 28.56	-49 54 32.4	4448	0.97	-2.13	-2.13			0.27						0.36					0.35		0.19				
J201027.8-082656	C.M.Sakari+,ApJ, 868, 110, 2018	20 10 27.84	-08 26 56.4	4195	0.22	-2.02	-2.02		-0.39	0.52	-0.21		0.07	0.17	0.42	0.58	-0.36		-0.02		0.52	0.04	0.37	0.09	-0.3	0.34	
J201031.9-355854	G.R.Ruchti+,ApJ, 737, 9, 2011	20 10 31.92	-35 58 55.2	5250	1.8	-2.19	-2.19			0.38						0.34					0.58		0.32				
J201925.1-282207	G.R.Ruchti+,ApJ, 737, 9, 2011	20 19 25.20	-28 22 08.4	4471	1.16	-2.02	-2.02			0.3						0.53					0.58		0.2				
J20303339-2519500	T.T.Hansen+,ApJ, 858, 92, 2018	20 30 33.4	-25 19 50.2	4315	0.6	-2.18	-2.21		-0.29			-0.65			0.41							0.41					
J20313531-3127319	T.T.Hansen+,ApJ, 858, 92, 2018	20 31 35.3	-31 27 31.9	4894	1.39	-2.43	-2.43		-0.79			0.1			<-0.3							0.2					
J203226.1+000014	C.M.Sakari+,ApJ, 868, 110, 2018	20 32 26.16	+00 00 14.4	4612	0.79	-2.24	-2.24		-0.29	0.34	-0.04		0.05	-0.04	0.26	0.28	-0.48		-0.13		0.59	0.16	0.34	0.82	-0.26	0.06	
J203622.6-071420	C.M.Sakari+,ApJ, 868, 110, 2018	20 36 22.56	-07 14 20.4	4283	0.07	-2.41	-2.41		-0.57	0.22	0.02		0.09	0.22	0.48	0.25	-0.22		-0.08		0.12	0.02	0.1	0.33	-0.56		
J203843.2-002333	C.M.Sakari+,ApJ, 868, 110, 2018	20 38 43.20	-00 23 31.2	4579	0.84	-2.89	-2.89		0.69	0.24	1.11		0.27	0.55	1.42	0.37	-0.33		0.05			0.82	0.26		0.23	0.66	
J203858.9-025212	C.M.Sakari+,ApJ, 868, 110, 2018	20 38 59.04	-02 52 12.0	4280	0.06	-2.16	-2.16		-0.26	0.33	0		-0.03	0.26	0.59	0.45	-0.38		-0.13		0.39	0.39	0.34	-0.11	-0.39	0.19	
J20445584-2250597	T.T.Hansen+,ApJ, 858, 92, 2018	20 44 55.9	-22 50 59.8	4366	1	-2.3	-2.3		-0.05			-0.57			-0.09							0.4					
J204923.3-362238	G.R.Ruchti+,ApJ, 737, 9, 2011	20 49 23.52	-36 22 37.2	4356	0.75	-2.1	-2.1			0.25						0.39					0.39		0.11				
J20492765-5124440	T.T.Hansen+,ApJ, 858, 92, 2018	20 49 27.7	-51 24 44.0	4250	1.09	-2.47	-2.47		-0.25			-0.77			0.58							0.13					
J205423.5-003310	C.M.Sakari+,ApJ, 868, 110, 2018	20 54 23.52	-00 33 10.8	4405	0.13	-2.62	-2.62		-0.27	0.26			0.18	0.15	<-0.18	0.55	-0.32		0.09		0.75	0.63	0.39	0.98	-0.05	0.74	
J20542346-0033097	T.T.Hansen+,ApJ, 858, 92, 2018	20 54 23.5	-00 33 09.8	4351	0.68	-2.78	-2.78		-0.03			-0.36			<0							0.86					
J2056+1438	H.Li+,ApJ, 931, 147, 2022	20 56 12.68	+14 38 00.89	6042	4.34	-2.48	-2.47		-0.11	0.38		0.48	0.47	-0.1		0.37			0.11			0.13	0.72				2.12
J20560913-1331176	T.T.Hansen+,ApJ, 858, 92, 2018	20 56 09.1	-13 31 17.7	4780	1.6	-2.3	-2.3		-0.56			0			0							0.13					
