# Object	Reference	RA	Decl	Teff	logg	Metallicity	[Fe/H]	[Al/Fe]	[Ba/Fe]	[Ca/Fe]	[Ce/Fe]	[C/Fe]	[Co/Fe]	[Cr/Fe]	[Eu/Fe]	[Mg/Fe]	[Mn/Fe]	[N/Fe]	[Ni/Fe]	[O/Fe]	[Si/Fe]	[Sr/Fe]	[Ti/Fe]	[V/Fe]	[Y/Fe]	[Zr/Fe]	log-e(Li)
HD200654	A.E.GarciaPerez+,AAP, 447, 299, 2006	21 06 34.70	-49 57 50.0	5292	2.86	-2.73	-2.73																				1.09
HD201626	D.Karinkuzhi+,AAP, 645, 61, 2021	21 09 59.27	+26 36 55.01	5084	2.18	-1.75			1.57	0.55	1.55	1.62	-0.52	0.13	0.83		-0.06	1.22	0.02	0.96			0.12		0.63	1.25	
HD201626	S.VanEck+,AAP, 404, 291, 2003	21 09 59.27	+26 36 54.9	5190	2.25		-2.1				1.8															0.92	
HD201626	V.Placco+,ApJ, 812, 109, 2015	21 09 59.27	+26 36 54.9	5175	2.8	-1.51		1.25	1.73	0.36	1.93	1.48	-0.02	-0.01	0.95	0.27	-0.37	0.38	0.08	0.73	0.32	1.34	0.29	0.01	1.06	2.48	
HD209621	D.Karinkuzhi+,AAP, 645, 61, 2021	22 04 25.14	+21 03 09.00	4740	1.75	-2	-2		1.82	0.51	1.72	1.57	-0.39	-0.04	1.78	0.2		1.97	-0.02	1.11		1.13	0.57		0.63	1.42	
HD213657	C.J.Hansen+,AAP, 545, A31, 2012	22 33 47.06	-42 03 13.8	6208	3.78	-2.01	-2.01		-0.03													0.04			-0.05	0.37	
HD213657	M.Asplund+,ApJ, 644, 229, 2006	22 33 47.06	-42 03 13.8	6180	3.92	-1.9														0.61							2.27
HD213657	J.Melendez+,AAP, 515, L3, 2010	22 33 47.06	-42 03 13.8	6299	3.9	-1.96																					2.33
HD213657	P.E.Nissen+,AAP, 390, 235, 2002	22 33 47.06	-42 03 13.8	6114	3.85	-1.94														0.53							
HD214161	M.N.Ishigaki+,ApJ, 753, 64, 2012	22 37 08.04	-40 30 38.4	4852	1.99	-1.96				0.12						0.11					0.26		0				
HD214161	M.N.Ishigaki+,ApJ, 771, 67, 2013	22 37 08.04	-40 30 38.4	4852	1.99	-1.96			-0.23					-0.33	0.21		-0.5		-0.21						-0.49		
HD214161	M.Ishigaki+,PASJ, 62, 143, 2010	22 37 08.04	-40 30 38.4	4624	1.37	-2.23	-2.23		-0.44	0.24				-0.36		0.36	-0.72		-0.11				-0.08		-0.45		
